fw,lts,ttr,af,ttl,size,dup,rcvd,sent,min,max,avg,msm_id,prb_id,timestamp,group_id,stored_timestamp
4790,140,59.0,4,58.0,48,0,3,3,28.873734,29.638662,29.16967,50949595,2590,2023-03-15 13:37:51,50949595,1678887472
5080,3,29.137184,4,118.0,48,0,3,3,5.689412,5.904581,5.8281146667,50949595,26210,2023-03-15 13:37:48,50949595,1678887470
4790,503,59.0,4,119.0,48,0,3,3,11.435522,11.566083,11.4800666667,50949595,2626,2023-03-15 13:37:52,50949595,1678887471
5080,124,9.883636,4,118.0,48,0,3,3,5.401602,6.923445,6.111296,50949595,28239,2023-03-15 13:37:50,50949595,1678887470
5080,110,130.225054,4,109.0,48,0,3,3,49.427608,49.519081,49.4625683333,50949595,28355,2023-03-15 13:37:49,50949595,1678887471
5080,105,17.87009,4,59.0,48,0,3,3,14.209329,14.476799,14.305847,50949595,28632,2023-03-15 13:37:50,50949595,1678887471
5080,33,42.071419,4,119.0,48,0,3,3,2.415505,2.969451,2.6707056667,50949595,28667,2023-03-15 13:37:49,50949595,1678887470
5080,36,15.955597,4,117.0,48,0,3,3,4.90993,5.482401,5.2907986667,50949595,29377,2023-03-15 13:37:50,50949595,1678887471
5080,123,45.848066,4,113.0,48,0,3,3,27.896873,29.678871,28.5996923333,50949595,29415,2023-03-15 13:37:50,50949595,1678887470
4790,23,59.0,4,117.0,48,0,3,3,7.253762,9.271298,8.259586,50949595,3062,2023-03-15 13:37:50,50949595,1678887471
5080,20,37.788794,4,120.0,48,0,3,3,1.071377,1.182529,1.113421,50949595,31091,2023-03-15 13:37:50,50949595,1678887470
5080,88,33.95509,4,117.0,48,0,3,3,8.615085,9.20997,8.8575883333,50949595,31427,2023-03-15 13:37:48,50949595,1678887471
5080,104,91.836045,4,119.0,48,0,3,3,7.4519,7.738355,7.5587,50949595,31501,2023-03-15 13:37:49,50949595,1678887470
5080,24,49.100901,4,120.0,48,0,3,3,7.245542,7.338393,7.3016926667,50949595,31702,2023-03-15 13:37:51,50949595,1678887470
5080,20,9.184076,4,114.0,48,0,3,3,2.168965,2.461886,2.2803003333,50949595,31833,2023-03-15 13:37:52,50949595,1678887472
5080,3,21.524443,4,120.0,48,0,3,3,4.917407,5.162823,5.014609,50949595,32966,2023-03-15 13:37:50,50949595,1678887471
4790,102,59.0,4,116.0,48,0,3,3,37.631239,39.45524,38.3877196667,50949595,3344,2023-03-15 13:37:50,50949595,1678887471
5080,17,42.865632,4,57.0,48,0,3,3,12.249026,12.393701,12.3392963333,50949595,33536,2023-03-15 13:37:49,50949595,1678887470
5080,104,11.013395,4,59.0,48,0,3,3,10.800408000000001,11.143067,10.997295,50949595,33572,2023-03-15 13:37:50,50949595,1678887471
5080,23,32.730901,4,59.0,48,0,3,3,9.771822,13.522058,11.770484,50949595,33688,2023-03-15 13:37:50,50949595,1678887471
5080,140,19.131046,4,115.0,48,0,3,3,12.157461,12.315447,12.256643,50949595,33814,2023-03-15 13:37:50,50949595,1678887470
5080,139,45.062145,4,120.0,48,0,3,3,7.376463,8.213315,7.746946,50949595,33901,2023-03-15 13:37:50,50949595,1678887470
5080,117,73.085296,4,107.0,48,0,3,3,44.778109,45.026822,44.8958763333,50949595,35275,2023-03-15 13:37:51,50949595,1678887471
5080,19,57.791813,4,118.0,48,0,3,3,13.242871,21.108789,16.272625,50949595,35346,2023-03-15 13:37:51,50949595,1678887471
